Error: Only verified 1 of 2 plugins (1 failed).
plugin_name	file	message
page-optimize	page-optimize-ko_KR.l10n.php	File was added
page-optimize	page-optimize-es_ES.l10n.php	File was added
page-optimize	page-optimize-it_IT.mo	File was added
page-optimize	page-optimize-zh_TW.po	File was added
page-optimize	page-optimize-ja.l10n.php	File was added
page-optimize	page-optimize-gl_ES.po	File was added
page-optimize	.at-lang-generation-info	File was added
page-optimize	page-optimize-es_CO.l10n.php	File was added
page-optimize	page-optimize-nl_NL.mo	File was added
page-optimize	page-optimize-es_MX.l10n.php	File was added
page-optimize	page-optimize-es_MX.po	File was added
page-optimize	page-optimize-es_MX.mo	File was added
page-optimize	page-optimize-zh_TW.l10n.php	File was added
page-optimize	page-optimize-sv_SE.mo	File was added
page-optimize	page-optimize-ru_RU.po	File was added
page-optimize	page-optimize-es_VE.l10n.php	File was added
page-optimize	page-optimize-es_VE.mo	File was added
page-optimize	page-optimize-ko_KR.po	File was added
page-optimize	page-optimize-es_CL.mo	File was added
page-optimize	page-optimize-nl_NL_formal.po	File was added
page-optimize	page-optimize-es_VE.po	File was added
page-optimize	page-optimize-sv_SE.po	File was added
page-optimize	page-optimize-ja.mo	File was added
page-optimize	page-optimize-zh_TW.mo	File was added
page-optimize	page-optimize-nl_NL.l10n.php	File was added
page-optimize	page-optimize-nl_NL_formal.l10n.php	File was added
page-optimize	page-optimize-it_IT.po	File was added
page-optimize	page-optimize-nl_BE.po	File was added
page-optimize	page-optimize-nl_BE.l10n.php	File was added
page-optimize	page-optimize-es_CL.l10n.php	File was added
page-optimize	page-optimize-ko_KR.mo	File was added
page-optimize	page-optimize-es_EC.mo	File was added
page-optimize	page-optimize-gl_ES.mo	File was added
page-optimize	page-optimize-es_ES.po	File was added
page-optimize	page-optimize-gl_ES.l10n.php	File was added
page-optimize	page-optimize-nl_NL_formal.mo	File was added
page-optimize	page-optimize-nl_BE.mo	File was added
page-optimize	page-optimize-es_EC.l10n.php	File was added
page-optimize	page-optimize-es_EC.po	File was added
page-optimize	page-optimize-es_CO.mo	File was added
page-optimize	page-optimize-es_CO.po	File was added
page-optimize	page-optimize-es_CL.po	File was added
page-optimize	page-optimize-ja.po	File was added
page-optimize	page-optimize-ru_RU.l10n.php	File was added
page-optimize	page-optimize-es_ES.mo	File was added
page-optimize	page-optimize-sv_SE.l10n.php	File was added
page-optimize	page-optimize-nl_NL.po	File was added
page-optimize	page-optimize-it_IT.l10n.php	File was added
page-optimize	page-optimize-ru_RU.mo	File was added
